"Products and product groups 3 4","October 2021","September 2022","October 2022","September 2022 to October 2022","October 2021 to October 2022"
,"2002=100",,,,
"Food 5","160.6","176.9","176.4","-0.3","9.8"
"Food purchased from stores","158.2","176.4","175.2","-0.7","10.7"
"Meat","183.8","200.0","196.4","-1.8","6.9"
"Fresh or frozen meat (excluding poultry)","184.8","195.1","192.7","-1.2","4.3"
"Fresh or frozen beef","207.2","216.7","216.5","-0.1","4.5"
"Fresh or frozen pork","140.1","142.7","142.3","-0.3","1.6"
"Fresh or frozen poultry","186.9","212.1","204.0","-3.8","9.1"
"Fresh or frozen chicken","192.5","218.3","209.8","-3.9","9.0"
"Processed meat","178.9","194.5","193.1","-0.7","7.9"
"Ham and bacon","..","..","..","...","..."
"Other processed meat","..","..","..","...","..."
"Fish, seafood and other marine products","152.2","160.4","163.7","2.1","7.6"
"Fish","161.6","171.3","175.5","2.5","8.6"
"Fresh or frozen fish (including portions and fish sticks)","..","..","..","...","..."
"Canned and other preserved fish","..","..","..","...","..."
"Dairy products and eggs","150.3","169.4","166.9","-1.5","11.0"
"Dairy products","145.8","164.8","161.3","-2.1","10.6"
"Fresh milk","143.4","161.3","162.6","0.8","13.4"
"Butter","161.3","189.1","195.0","3.1","20.9"
"Cheese","147.5","168.7","162.1","-3.9","9.9"
"Ice cream and related products","..","..","..","...","..."
"Eggs","195.9","217.5","224.5","3.2","14.6"
"Bakery and cereal products (excluding baby food)","166.8","192.1","193.8","0.9","16.2"
"Bakery products","174.8","199.6","201.2","0.8","15.1"
"Bread, rolls and buns","..","..","..","...","..."
"Cookies and crackers","..","..","..","...","..."
"Other bakery products","..","..","..","...","..."
"Cereal products (excluding baby food)","151.2","176.3","178.0","1.0","17.7"
"Rice and rice-based mixes","..","..","..","...","..."
"Breakfast cereal and other cereal products (excluding baby food)","..","..","..","...","..."
"Pasta products","..","..","..","...","..."
"Flour and flour-based mixes","..","..","..","...","..."
"Fruit, fruit preparations and nuts","140.4","156.0","150.4","-3.6","7.1"
"Fresh fruit","133.1","150.0","143.2","-4.5","7.6"
"Apples","..","..","..","...","..."
"Oranges","..","..","..","...","..."
"Bananas","..","..","..","...","..."
"Other fresh fruit","..","..","..","...","..."
"Preserved fruit and fruit preparations","150.5","164.8","163.3","-0.9","8.5"
"Fruit juices","..","..","..","...","..."
"Other preserved fruit and fruit preparations","..","..","..","...","..."
"Nuts and seeds","..","..","..","...","..."
"Vegetables and vegetable preparations","155.3","174.2","173.6","-0.3","11.8"
"Fresh vegetables","154.0","170.9","169.9","-0.6","10.3"
"Potatoes","..","..","..","...","..."
"Tomatoes","..","..","..","...","..."
"Lettuce","..","..","..","...","..."
"Other fresh vegetables","..","..","..","...","..."
"Preserved vegetables and vegetable preparations","161.1","186.2","186.7","0.3","15.9"
"Frozen and dried vegetables","..","..","..","...","..."
"Canned vegetables and other vegetable preparations","..","..","..","...","..."
"Other food products and non-alcoholic beverages","146.6","164.5","165.6","0.7","13.0"
"Sugar and confectionery","146.4","156.8","155.4","-0.9","6.1"
"Edible fats and oils","199.4","238.4","239.8","0.6","20.3"
"Coffee and tea","143.2","163.5","161.6","-1.2","12.8"
"Condiments, spices and vinegars","..","..","..","...","..."
"Other food preparations","..","..","..","...","..."
"Non-alcoholic beverages","128.1","150.8","153.0","1.5","19.4"
"Food purchased from restaurants 5","166.9","178.3","179.4","0.6","7.5"
"Food purchased from table-service restaurants 5","..","..","..","...","..."
"Food purchased from fast food and take-out restaurants 5","..","..","..","...","..."