Month,Program,CMA Code,CMA,Cases,FTS,FTSP,FTC,FS1,FS2,FS3,Age24,Age2554,Age55,Male,Female,Moa035,Moa3659,Moa60
202103,ODS,505,Ottawa,"25,729","21,035","2,215","2,479","21,035","2,449","2,245","2,133","14,739","8,857","13,869","11,860","4,871","3,323","17,535"
202103,ODS,521,Kingston,"6,950","5,598",669,683,"5,598",811,541,606,"4,262","2,082","3,575","3,375","1,072",863,"5,015"
202103,ODS,529,Peterborough,"5,082","4,011",469,602,"4,011",632,439,412,"3,145","1,525","2,697","2,385",799,692,"3,591"
202103,ODS,532,Oshawa,"10,235","8,252","1,046",937,"8,252","1,101",882,975,"6,366","2,894","5,334","4,901","1,887","1,480","6,868"
202103,ODS,535,Toronto,"120,638","96,798","10,714","13,126","96,798","13,173","10,667","8,927","65,981","45,730","64,689","55,949","24,834","18,155","77,649"
202103,ODS,537,Hamilton,"23,081","18,106","2,202","2,773","18,106","2,765","2,210","1,676","13,292","8,113","12,281","10,800","4,020","3,103","15,958"
202103,ODS,539,St. Catharines,"15,747","12,466","1,431","1,850","12,466","1,969","1,312","1,184","9,355","5,208","8,173","7,574","2,381","2,077","11,289"
202103,ODS,541,Kitchener,"12,427","9,891","1,094","1,442","9,891","1,410","1,126","1,204","7,355","3,868","6,501","5,926","2,525","1,736","8,166"
202103,ODS,543,Brantford,"5,722","4,329",679,714,"4,329",841,552,465,"3,490","1,767","3,024","2,698",888,776,"4,058"
202103,ODS,550,Guelph,"3,545","2,900",321,324,"2,900",386,259,398,"2,194",953,"1,798","1,747",739,545,"2,261"
202103,ODS,555,London,"17,398","13,759","1,544","2,095","13,759","2,033","1,606","1,424","10,285","5,689","8,942","8,456","3,378","2,460","11,560"
202103,ODS,559,Windsor,"12,466","9,440","1,113","1,913","9,440","1,661","1,365",975,"6,920","4,571","6,722","5,744","2,446","1,884","8,136"
202103,ODS,568,Barrie,"5,417","4,363",581,473,"4,363",599,455,589,"3,262","1,566","2,799","2,618","1,084",799,"3,534"
202103,ODS,580,Greater Sudbury,"6,434","5,256",631,547,"5,256",726,452,534,"3,822","2,078","3,417","3,017",998,812,"4,624"
202103,ODS,595,Thunder Bay,"5,203","4,291",484,428,"4,291",547,365,317,"3,323","1,563","2,764","2,439",730,594,"3,879"
202106,ODS,505,Ottawa,"25,674","21,007","2,215","2,452","21,007","2,434","2,233","2,131","14,668","8,875","13,809","11,865","4,555","3,507","17,612"
202106,ODS,521,Kingston,"6,928","5,597",658,673,"5,597",798,533,598,"4,267","2,063","3,573","3,355",974,886,"5,068"
202106,ODS,529,Peterborough,"5,059","4,009",463,587,"4,009",612,438,409,"3,135","1,515","2,674","2,385",766,707,"3,586"
202106,ODS,532,Oshawa,"10,160","8,179","1,058",923,"8,179","1,115",866,942,"6,367","2,851","5,301","4,859","1,781","1,486","6,893"
202106,ODS,535,Toronto,"119,790","96,297","10,631","12,862","96,297","13,010","10,483","8,905","65,462","45,423","64,242","55,548","23,214","18,539","78,037"
202106,ODS,537,Hamilton,"22,831","17,938","2,178","2,715","17,938","2,729","2,164","1,647","13,126","8,058","12,134","10,697","3,767","3,143","15,921"
202106,ODS,539,St. Catharines,"15,663","12,439","1,409","1,815","12,439","1,926","1,298","1,179","9,266","5,218","8,142","7,521","2,259","2,087","11,317"
202106,ODS,541,Kitchener,"12,422","9,895","1,099","1,428","9,895","1,404","1,123","1,213","7,343","3,866","6,469","5,953","2,410","1,798","8,214"
202106,ODS,543,Brantford,"5,686","4,316",678,692,"4,316",822,548,445,"3,485","1,756","3,009","2,677",819,775,"4,092"
202106,ODS,550,Guelph,"3,531","2,890",316,325,"2,890",386,255,404,"2,172",955,"1,792","1,739",688,550,"2,293"
202106,ODS,555,London,"17,356","13,739","1,546","2,071","13,739","2,015","1,602","1,419","10,236","5,701","8,921","8,435","3,154","2,554","11,648"
202106,ODS,559,Windsor,"12,450","9,429","1,109","1,912","9,429","1,655","1,366",971,"6,931","4,548","6,690","5,760","2,303","1,966","8,181"
202106,ODS,568,Barrie,"5,335","4,302",580,453,"4,302",601,432,589,"3,183","1,563","2,731","2,604","1,005",827,"3,503"
202106,ODS,580,Greater Sudbury,"6,389","5,218",617,554,"5,218",723,448,509,"3,816","2,064","3,397","2,992",933,826,"4,630"
202106,ODS,595,Thunder Bay,"5,179","4,275",482,422,"4,275",537,367,307,"3,313","1,559","2,758","2,421",674,617,"3,888"
202109,ODS,505,Ottawa,"25,544","20,938","2,201","2,405","20,938","2,403","2,203","2,111","14,578","8,855","13,712","11,832","4,324","3,543","17,677"
202109,ODS,521,Kingston,"6,897","5,559",670,668,"5,559",812,526,590,"4,244","2,063","3,536","3,361",923,875,"5,099"
202109,ODS,529,Peterborough,"5,060","4,006",470,584,"4,006",617,437,405,"3,127","1,528","2,675","2,385",724,675,"3,661"
202109,ODS,532,Oshawa,"10,120","8,152","1,059",909,"8,152","1,096",872,931,"6,299","2,890","5,279","4,841","1,688","1,488","6,944"
202109,ODS,535,Toronto,"119,121","95,968","10,535","12,618","95,968","12,917","10,236","8,790","65,067","45,264","63,852","55,269","22,089","18,237","78,795"
202109,ODS,537,Hamilton,"22,765","17,899","2,153","2,713","17,899","2,718","2,148","1,670","13,061","8,034","12,130","10,635","3,653","3,135","15,977"
202109,ODS,539,St. Catharines,"15,575","12,422","1,369","1,784","12,422","1,867","1,286","1,189","9,189","5,197","8,080","7,495","2,127","2,063","11,385"
202109,ODS,541,Kitchener,"12,381","9,869","1,108","1,404","9,869","1,394","1,118","1,195","7,299","3,887","6,451","5,930","2,311","1,793","8,277"
202109,ODS,543,Brantford,"5,640","4,287",668,685,"4,287",812,541,420,"3,471","1,749","2,997","2,643",754,752,"4,134"
202109,ODS,550,Guelph,"3,529","2,891",313,325,"2,891",382,256,391,"2,191",947,"1,799","1,730",652,552,"2,325"
202109,ODS,555,London,"17,268","13,692","1,534","2,042","13,692","1,979","1,597","1,385","10,220","5,663","8,908","8,360","3,041","2,531","11,696"
202109,ODS,559,Windsor,"12,440","9,420","1,126","1,894","9,420","1,658","1,362",950,"6,932","4,558","6,680","5,760","2,206","1,947","8,287"
202109,ODS,568,Barrie,"5,323","4,299",575,449,"4,299",592,432,578,"3,171","1,574","2,730","2,593",946,815,"3,562"
202109,ODS,580,Greater Sudbury,"6,376","5,206",628,542,"5,206",724,446,516,"3,834","2,026","3,374","3,002",907,796,"4,673"
202109,ODS,595,Thunder Bay,"5,153","4,268",474,411,"4,268",520,365,315,"3,287","1,551","2,748","2,405",665,591,"3,897"
202112,ODS,505,Ottawa,"25,406","20,857","2,162","2,387","20,857","2,376","2,173","2,081","14,480","8,845","13,584","11,822","4,184","3,547","17,675"
202112,ODS,521,Kingston,"6,802","5,493",665,644,"5,493",790,519,575,"4,197","2,030","3,497","3,305",861,841,"5,100"
202112,ODS,529,Peterborough,"5,024","3,970",469,585,"3,970",613,441,399,"3,104","1,521","2,654","2,370",663,693,"3,668"
202112,ODS,532,Oshawa,"10,109","8,145","1,053",911,"8,145","1,122",842,925,"6,269","2,915","5,292","4,817","1,632","1,487","6,990"
202112,ODS,535,Toronto,"118,549","95,743","10,314","12,492","95,743","12,796","10,010","8,752","64,759","45,038","63,602","54,947","21,128","18,072","79,349"
202112,ODS,537,Hamilton,"22,717","17,866","2,160","2,691","17,866","2,725","2,126","1,607","13,050","8,060","12,088","10,629","3,532","3,094","16,091"
202112,ODS,539,St. Catharines,"15,585","12,437","1,367","1,781","12,437","1,879","1,269","1,174","9,196","5,215","8,093","7,492","2,041","2,004","11,540"
202112,ODS,541,Kitchener,"12,368","9,891","1,092","1,385","9,891","1,402","1,075","1,175","7,287","3,906","6,436","5,932","2,216","1,779","8,373"
202112,ODS,543,Brantford,"5,624","4,290",656,678,"4,290",792,542,414,"3,464","1,746","2,979","2,645",722,737,"4,165"
202112,ODS,550,Guelph,"3,483","2,861",309,313,"2,861",370,252,385,"2,164",934,"1,766","1,717",628,506,"2,349"
202112,ODS,555,London,"17,218","13,660","1,523","2,035","13,660","1,962","1,596","1,393","10,192","5,633","8,875","8,343","2,967","2,493","11,758"
202112,ODS,559,Windsor,"12,458","9,430","1,129","1,899","9,430","1,668","1,360",923,"6,960","4,575","6,674","5,784","2,143","1,916","8,399"
202112,ODS,568,Barrie,"5,310","4,290",566,454,"4,290",596,424,581,"3,161","1,568","2,728","2,582",925,793,"3,592"
202112,ODS,580,Greater Sudbury,"6,327","5,137",622,568,"5,137",744,446,510,"3,810","2,007","3,364","2,963",853,801,"4,673"
202112,ODS,595,Thunder Bay,"5,124","4,271",464,389,"4,271",507,346,300,"3,275","1,549","2,724","2,400",640,582,"3,902"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
