Date Reported,Time Reported,Reference Number,Site Municipality,Contaminant Name,Receiving Media,Health Impact,Environmental Impact,Health/Environmental Consequence,Sector Type,Source Type,Source/Sector Type,Incident Event,Incident Reason
12/31/2021,12:08 PM,1-1IRJL8,TORONTO,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/30/2021,3:45 PM,1-1IHD8U,SOUTH FRONTENAC,OIL AND GREASE,Surface Water,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/30/2021,3:55 PM,1-1IGYFC,OSHAWA,FURNACE OIL,Land,1 Minor Health Impact,1 Minor Impact,,PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS,Tank - Indoors,,Unknown / N/A,Unknown / N/A
12/29/2021,3:00 PM,1-1IBYRQ,HAMILTON,CUTTING/THREADING OIL,Land,1 Minor Health Impact,1 Minor Impact,,STEEL FOUNDRIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/24/2021,9:00 AM,1-1I9K62,COBOURG,OIL AND GREASE,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/24/2021,1:45 PM,1-1I9KFL,PETERBOROUGH,GAS OIL,Land,1 Minor Health Impact,1 Minor Impact,,GASOLINE STATIONS WITH CONVENIENCE STORES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/23/2021,10:51 AM,1-1I6IYH,MISSISSAUGA,AMMONIA,Air,1 Minor Health Impact,1 Minor Impact,,REFRIGERATED WAREHOUSING AND STORAGE,Valve/Fitting/Piping,,Leak/Break,Unknown / N/A
12/22/2021,9:57 AM,1-1I3TPZ,LONDON,FOAM,Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Unknown / N/A,Unknown / N/A
12/22/2021,11:40 AM,1-1I5FXS,TORONTO,FUEL OIL,Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Motor Vehicle,,Unknown / N/A,Fire
12/22/2021,6:53 PM,1-1I6U00,KING,CONTAMINATED SOIL,Land; Surface Water,1 Minor Health Impact,2 Minor Impact &/or Mortality,,WASTE COLLECTION,Truck - Transport/Hauling,,Unknown / N/A,Vandalism/deliberate act
12/20/2021,10:46 AM,1-1HW94X,CHAPLEAU,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/20/2021,12:12 PM,1-1HYA3M,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error (Line Strike)
12/20/2021,2:13 PM,1-1HYANX,WATERLOO,"FAT, OIL AND GREASE",Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,FAT AND OIL REFINING AND BLENDING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/17/2021,1:26 PM,1-1HU22B,NIAGARA FALLS,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,STEEL FOUNDRIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/17/2021,2:32 PM,1-1HU2FC,OTTAWA,ETHYLENE GLYCOL,Land,1 Minor Health Impact,1 Minor Impact,,CONSTRUCTION MACHINERY MANUFACTURING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/17/2021,3:08 PM,1-1HU2L2,GUELPH,REFRIGERANT GASES (N.O.S.),Air,1 Minor Health Impact,1 Minor Impact,,REFRIGERATED WAREHOUSING AND STORAGE,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/16/2021,10:32 AM,1-1HO457,MISSISSAUGA,DUST (N.O.S.),Land,1 Minor Health Impact,1 Minor Impact,,CEMENT MANUFACTURING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/16/2021,1:11 PM,1-1HNERH,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Leak/Break,Unknown / N/A
12/16/2021,1:35 PM,1-1HPB4U,BRAMPTON,FLUE GASES (N.0.S.),Air,1 Minor Health Impact,1 Minor Impact,,ALL OTHER WASTE MANAGEMENT SERVICES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/14/2021,11:12 AM,1-1HGDWW,GUELPH,PERACETIC ACID,Air; Land,2 Medium Health Impact,2 Minor Impact &/or Mortality,,ALL OTHER MISCELLANEOUS MANUFACTURING,Container/Drum/Tote,,Leak/Break,Human error
12/10/2021,2:38 PM,1-1GZIZ9,LONDON,FOAM,Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Non-Point Source,,Unknown / N/A,Unknown / N/A
12/9/2021,9:42 AM,1-1GUVBL,BRAMPTON,NATURAL GAS,Air,2 Medium Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/9/2021,11:19 AM,1-1GVBEC,CHATHAM-KENT,"HYDROCARBONS, LIQUID (N.O.S.)",Surface Water,1 Minor Health Impact,1 Minor Impact,,MARINE SHIPPING AGENCIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/9/2021,1:56 PM,1-1GVD0I,RED LAKE,DIESEL FUEL,Surface Water,1 Minor Health Impact,1 Minor Impact,,BOAT BUILDING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/8/2021,6:45 AM,1-1GP966,TERRACE BAY,OPACITY,Air,1 Minor Health Impact,1 Minor Impact,,PAPER INDUSTRY MACHINERY MANUFACTURING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/8/2021,9:59 AM,1-1GR1NK,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Leak/Break,Human error (Leak/Break)
12/8/2021,11:29 AM,1-1GRISM,CONMEE,GAS OIL,Ground Water,2 Medium Health Impact,3 Medium Impact with Mortality,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/8/2021,1:30 PM,1-1GS1QB,GREATER SUDBURY,DIESEL FUEL,Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/8/2021,2:01 PM,1-1GRTSD,OTTAWA,GLYCOLS; TOTAL,Surface Water,1 Minor Health Impact,2 Minor Impact &/or Mortality,,AIR TRAFFIC CONTROL,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/8/2021,4:44 PM,1-1GTLLZ,WELLAND,NATURAL GAS,Air,1 Minor Health Impact,2 Minor Impact &/or Mortality,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
12/7/2021,12:48 PM,1-1GNSEG,CORNWALL,AMMONIA,Air,1 Minor Health Impact,1 Minor Impact,,ICE CREAM AND FROZEN DESSERT MANUFACTURING,Other,,Other,Improper service/maintenance
12/5/2021,9:01 AM,1-1GGR44,OTTAWA,TRANSMISSION OIL,Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Motor Vehicle,,Accident/Collision,Unknown / N/A
12/4/2021,5:18 AM,1-1GGA46,SARNIA,ETHYL BENZENE,Land,1 Minor Health Impact,1 Minor Impact,,CHEMICAL PULP MILLS,Valve/Fitting/Piping,,Leak/Break,Equipment failure/malfunction
12/4/2021,1:52 PM,1-1GGV5A,BARRIE,OIL AND GREASE,Ground Water; Surface Water,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Motor Vehicle,,Accident/Collision,Unknown / N/A
12/3/2021,1:47 PM,1-1GFC3B,RAMARA,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Lagoon/Retaining Pond,,Overfill,Unknown / N/A
11/28/2021,1:45 PM,1-1FURLL,KITCHENER,WATER,Land,1 Minor Health Impact,1 Minor Impact,,"OTHER LOCAL, MUNICIPAL AND REGIONAL PUBLIC ADMINISTRATION",Pipeline/Components,,Accident/Collision,Road conditions
11/28/2021,4:13 PM,1-1FUOYO,MISSISSAUGA,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Other
11/28/2021,7:27 PM,1-1FWBNI,MACHIN,OIL AND GREASE,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/27/2021,10:24 AM,1-1FUD67,LONDON,"SEWAGE, RAW UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,WATER SUPPLY AND IRRIGATION SYSTEMS,Pipeline/Components,,Power Outage,Power outage/loss
11/27/2021,1:43 PM,1-1FUXE3,MISSISSIPPI MILLS,OIL AND GREASE,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Motor Vehicle,,Leak/Break,Unknown / N/A
11/27/2021,3:07 PM,1-1FUXGJ,WINDSOR,PROCESS WATER (NOT OTHERWISE SPECIFIED),Ground Water; Land,1 Minor Health Impact,1 Minor Impact,,DISTILLERIES,Tank - Indoors,,Leak/Break,Unknown / N/A
11/27/2021,6:21 PM,1-1FVAUQ,BRAMPTON,MINERAL OIL,Land,1 Minor Health Impact,1 Minor Impact,,HYDRO-ELECTRIC POWER GENERATION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/23/2021,2:58 PM,1-1FIPLZ,GOGAMA,EFFLUENT (N.O.S.),Land,1 Minor Health Impact,1 Minor Impact,,GOLD AND SILVER ORE MINING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/22/2021,12:22 AM,1-1FDFY0,SAULT STE. MARIE,"SEWAGE, RAW CHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Unknown / N/A,Power outage/loss
11/22/2021,3:19 PM,1-1FEVWR,CAMBRIDGE,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Other
11/22/2021,3:38 PM,1-1FEVYS,LONDON,SUGAR,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Unknown / N/A,,Unknown / N/A,Unscheduled  maintenance
11/22/2021,5:36 PM,1-1FEW84,HAMILTON,CUTTING/THREADING OIL,Surface Water,1 Minor Health Impact,1 Minor Impact,,METAL CAN MANUFACTURING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/20/2021,1:49 PM,1-1FBJW6,VAUGHAN,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Unknown / N/A,,Leak/Break,Unknown / N/A
11/20/2021,4:33 PM,1-1FC8QH,BARRIE,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,2 Minor Impact &/or Mortality,,SEWAGE TREATMENT FACILITIES,Sewer (Private or Municipal),,Vandalism,Vandalism/deliberate act
11/19/2021,11:48 AM,1-1F9PIJ,NEWMARKET,CONCRETE,Surface Water,1 Minor Health Impact,1 Minor Impact,,"OTHER LOCAL, MUNICIPAL AND REGIONAL PUBLIC ADMINISTRATION",Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/18/2021,6:59 AM,1-1F0X9A,GREATER SUDBURY,CHLORINE (LIQUIFIED),Air,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Container/Drum/Tote,,Explosion,Unknown / N/A
11/18/2021,4:13 PM,1-1F6V4L,MISSISSAUGA,SEDIMENT,Surface Water,1 Minor Health Impact,1 Minor Impact,,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/18/2021,10:30 PM,1-1F80UO,TORONTO,"SEWAGE, RAW UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewer (Private or Municipal),,Unknown / N/A,Unknown / N/A
11/17/2021,5:54 PM,1-1EYIOY,HAMILTON,MERCURY,Land,1 Minor Health Impact,1 Minor Impact,,WASTE COLLECTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/16/2021,10:56 AM,1-1EOHVZ,THUNDER BAY,"SEWAGE, PRIMARY UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/15/2021,9:48 AM,1-1EHJB1,WHITBY,ISOCYANATE (N.O.S.),Land,1 Minor Health Impact,2 Minor Impact &/or Mortality,,AUTOMOTIVE PARTS AND ACCESSORIES STORES,Container/Drum/Tote,,Tank Rupture,Human error (Tank Rupture)
11/14/2021,5:38 PM,1-1EJ2D0,OSHAWA,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error (Line Strike)
11/13/2021,2:45 PM,1-1EI07E,TORONTO,REFRIGERANT GASES (N.O.S.),Air,1 Minor Health Impact,1 Minor Impact,,REFRIGERATED WAREHOUSING AND STORAGE,Pipeline/Components,,Leak/Break,Unknown / N/A
11/10/2021,9:07 AM,1-1E3DOT,PETEWAWA,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Motor Vehicle,,Accident/Collision,Unknown / N/A
11/10/2021,3:54 PM,1-1EHA5M,OTTAWA,CHLORINE,Air,1 Minor Health Impact,1 Minor Impact,,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,Refinery,,Unknown / N/A,Other
11/9/2021,10:11 AM,1-1DV7LY,MISSISSAUGA,DUST (N.O.S.),Air,1 Minor Health Impact,1 Minor Impact,,CEMENT MANUFACTURING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/9/2021,5:37 PM,1-1DZSXG,ESSEX,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewer (Private or Municipal),,Unknown / N/A,Unknown / N/A
11/9/2021,6:02 PM,1-1DZT0O,NEWMARKET,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,"CONSTRUCTION AND FORESTRY MACHINERY, EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/8/2021,3:20 PM,1-1DSO1B,TINY,OIL AND GREASE,Land,1 Minor Health Impact,1 Minor Impact,,"CONSTRUCTION, TRANSPORTATION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/8/2021,5:12 PM,1-1DTCC5,BLANDFORD-BLENHEIM,ODOUR,Air,1 Minor Health Impact,1 Minor Impact,,WASTE TREATMENT AND DISPOSAL,Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/6/2021,6:25 PM,1-1DPF49,CHATHAM-KENT,METHANE GAS,Air,1 Minor Health Impact,2 Minor Impact &/or Mortality,,OTHER BASIC ORGANIC CHEMICAL MANUFACTURING,Valve/Fitting/Piping,,Leak/Break,Equipment failure/malfunction
11/4/2021,1:40 PM,1-1DJYSE,DAWN-EUPHEMIA,GLYCOL/WATER SOLUTION,Land,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Leak/Break,Unknown / N/A
11/4/2021,3:55 PM,1-1DKI2D,TORONTO,DIESEL FUEL,Surface Water,1 Minor Health Impact,1 Minor Impact,,BOAT BUILDING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/4/2021,4:30 PM,1-1DKI3R,LINCOLN,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Motor Vehicle,,Unknown / N/A,Improper operation
11/4/2021,5:25 PM,1-1DKZBW,LONDON,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,SOYBEAN FARMING,Truck - Only Saddle Tanks,,Unknown / N/A,Unknown / N/A
11/3/2021,1:05 PM,1-1DGUOU,MISSISSAUGA,CHLORINE (LIQUIFIED),Surface Water,1 Minor Health Impact,1 Minor Impact,,"OTHER LOCAL, MUNICIPAL AND REGIONAL PUBLIC ADMINISTRATION",Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/3/2021,3:54 PM,1-1DJ2TN,SHABAQUA,OIL AND GREASE,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Unknown / N/A,,Unknown / N/A,Unknown / N/A
11/3/2021,4:23 PM,1-1DHY9L,OTTAWA,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Valve/Fitting/Piping,,Line Strike,Unknown / N/A
11/2/2021,3:05 PM,1-1DE657,KENORA,SEWAGE SLUDGE,Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewer (Private or Municipal),,Leak/Break,Equipment failure/malfunction
11/1/2021,8:20 AM,1-1D78JK,IROQUOIS FALLS,"SEWAGE, RAW CHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Overflow/Surcharge,Unscheduled  maintenance
10/31/2021,8:34 AM,1-1D6F2I,HAMILTON,AMMONIA,Air,1 Minor Health Impact,1 Minor Impact,,COMMERCIAL BAKERIES AND FROZEN BAKERY PRODUCT MANUFACTURING,Tank - Indoors,,Leak/Break,Unknown / N/A
10/31/2021,2:59 PM,1-1D6FRW,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,2 Minor Impact &/or Mortality,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
10/30/2021,8:00 AM,1-1D4UCL,ST. CATHARINES,CHLORINE (COMPRESSED GAS),Air,1 Minor Health Impact,0 No Impact,,PAPER INDUSTRY MACHINERY MANUFACTURING,Valve/Fitting/Piping,,Leak/Break,Equipment failure/malfunction
10/30/2021,6:42 PM,1-1D4FYE,INNISFIL,BIOSOLIDS (N.O.S.),Land,1 Minor Health Impact,3 Medium Impact with Mortality,,ALL OTHER MISCELLANEOUS CROP FARMING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
10/27/2021,4:03 PM,1-1CXXGO,TORONTO,CEMENT DUST,Land,1 Minor Health Impact,1 Minor Impact,,CEMENT MANUFACTURING,Structure/Silo,,Other,Human error
10/26/2021,2:06 PM,1-1CTUDE,TORONTO,HYDRAULIC OIL,Land,1 Minor Health Impact,1 Minor Impact,,RESIDENTIAL BUILDING CONSTRUCTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
10/26/2021,2:40 PM,1-1CULZ4,THUNDER BAY,SECONDARY SLUDGE,Land,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
10/21/2021,8:01 PM,1-1CIZ2L,SARNIA,SEWAGE SLUDGE,Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
10/20/2021,3:33 PM,1-1CDD1C,TORONTO,AMMONIA,Air,1 Minor Health Impact,1 Minor Impact,,RECREATIONAL (EXCEPT HUNTING AND FISHING) AND VACATION CAMPS,Tank - Indoors,,Unknown / N/A,Equipment failure/malfunction
10/20/2021,4:33 PM,1-1CEFBB,TORONTO,OIL AND GREASE,Land,1 Minor Health Impact,1 Minor Impact,,OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
10/20/2021,5:35 PM,1-1CEOC7,KAWARTHA LAKES,PCB-CONTAMINATED OIL (>50 PPM PCB),Land,1 Minor Health Impact,1 Minor Impact,,HYDRO-ELECTRIC POWER GENERATION,Transformer,,Unknown / N/A,Human error (Unknown / N/A)
10/20/2021,6:45 PM,1-1CEOFI,NIAGARA-ON-THE-LAKE,OIL AND GREASE,Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Truck - Only Saddle Tanks,,Unknown / N/A,Human error
10/19/2021,2:46 PM,1-1C9PJ0,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
10/19/2021,3:04 PM,1-1C9PN7,ST. CLAIR,ALGAE AND CYANOBACTERIA,Surface Water,1 Minor Health Impact,1 Minor Impact,,OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
10/19/2021,3:36 PM,1-1C9PYZ,NEWMARKET,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
10/19/2021,4:01 PM,1-1C9Q5X,RICHMOND HILL,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
10/19/2021,4:15 PM,1-1CB2X3,ST. CATHARINES,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
10/15/2021,9:22 AM,1-1BUO4L,NORFOLK COUNTY,"SEWAGE, FINAL EFFLUENT CHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Overflow/Surcharge,Equipment failure/malfunction
10/14/2021,10:41 AM,1-1BQG3J,CLARINGTON,REFRIGERANT GAS R 407A,Air,1 Minor Health Impact,1 Minor Impact,,HEATING EQUIPMENT AND COMMERCIAL REFRIGERATION EQUIPMENT MANUFACTURING,Pipeline/Components,,Leak/Break,Equipment failure/malfunction
10/14/2021,1:34 PM,1-1BRUIJ,KITCHENER,UNKNOWN,Surface Water,1 Minor Health Impact,1 Minor Impact,,No-Natural Disaster,Unknown / N/A,,Unknown / N/A,Unknown / N/A
10/13/2021,5:19 AM,1-1BL1CM,GUELPH,DOUSE WATER (PARTICULATE CONTAMINANT),Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,GENERAL AUTOMOTIVE REPAIR,Motor Vehicle,,Vandalism,Vandalism/deliberate act
10/12/2021,10:11 AM,1-1BIJKB,TIMMINS,SLUDGE (N.O.S.),Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Pipeline/Components,,Overflow/Surcharge,Unscheduled  maintenance
10/12/2021,4:27 PM,1-1BJ9L7,LAKESHORE,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Other
10/12/2021,4:59 PM,1-1BJ9VK,OTTAWA,REFRIGERANT GASES (N.O.S.),Air,1 Minor Health Impact,1 Minor Impact,,ALL OTHER FOOD MANUFACTURING,Valve/Fitting/Piping,,Unknown / N/A,Equipment failure/malfunction
10/12/2021,6:23 PM,1-1BJ9ZQ,BRAMPTON,MINERAL OIL,Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,"MINERAL, ORE AND PRECIOUS METAL MERCHANT WHOLESALERS",Unknown / N/A,,Unknown / N/A,Unknown / N/A
10/11/2021,7:39 PM,1-1BGUN3,OTTAWA,UNKNOWN,Surface Water,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
10/7/2021,9:29 AM,1-1B7BNN,OTTAWA,CONTAMINATED FIRE WATER,Air; Surface Water,1 Minor Health Impact,1 Minor Impact,,"CONSTRUCTION, TRANSPORTATION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",Unknown / N/A,,Unknown / N/A,Unknown / N/A
10/7/2021,11:19 AM,1-1B843F,TORONTO,OIL AND GREASE,Surface Water,1 Minor Health Impact,1 Minor Impact,,OIL AND GAS EXTRACTION (EXCEPT OIL SANDS),Unknown / N/A,,Unknown / N/A,Unknown / N/A
10/5/2021,11:47 AM,1-1B0J5L,AMHERSTBURG,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
10/5/2021,12:11 PM,1-1B09IY,QUINTE WEST,GEAR OIL,Surface Water,1 Minor Health Impact,1 Minor Impact,,OTHER ELECTRIC POWER GENERATION,Power Facility (inc. Green),,Leak/Break,Equipment failure/malfunction
10/4/2021,8:52 AM,1-1ARERP,WESTPORT,"SEWAGE, RAW UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Leak/Break,Equipment failure/malfunction
10/4/2021,10:14 AM,1-1AU57L,TORONTO,SOAP/WATER MIXTURE,Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Pipeline/Components,,Unknown / N/A,Improper operation
9/30/2021,3:10 PM,1-1ALCE9,PETERBOROUGH,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
