COMMUNITY,COMMUNITY
Ottawa,80
Toronto,76
Hamilton,33
Mississauga,23
London,20
Kitchener,15
Barrie,12
Windsor,12
Oakville,12
Burlington,11
Vaughan,10
St. Catharines,10
Peterborough,9
Guelph,9
Greater Sudbury,9
Niagara Falls,9
Brampton,8
Waterloo,8
Brantford,8
Cornwall,8
Orillia,8
Oshawa,7
Owen Sound,7
Belleville,7
Cambridge,7
Kingston,7
Markham,7
Chatham,6
Richmond Hill,6
Pembroke,6
Whitby,6
Kawartha Lakes,6
Pickering,5
Prince Edward,5
Newmarket,5
Cobourg,5
Sarnia,5
Collingwood,5
Leamington,5
Woodstock,5
Welland,5
Thunder Bay,5
Stratford,5
Aurora,5
St. Thomas,5
Timmins,4
Port Hope,4
Listowel,4
Orangeville,4
Huntsville,4
Clarence-Rockland,4
Brockville,4
Simcoe,4
Whitchurch-Stouffville,4
Tillsonburg,3
Milton,3
North Bay,3
New Tecumseth,3
Midland,3
Amherstview,3
Kingsville,3
Penetanguishene,3
Perth,3
Brant,3
Bradford West Gwillimbury,3
Bracebridge,3
Sault Ste. Marie,3
Grimsby,3
Hawkesbury,3
Quinte West,3
Smiths Falls,3
Hanover,3
Alexandria,2
Halton Hills,2
Gananoque,2
Gravenhurst,2
Harriston,2
Wallaceburg,2
Ajax,2
Fort Erie,2
Fergus,2
Lucknow,2
Arnprior,2
Dresden,2
Kemptville,2
Kincardine,2
Alfred,2
Lincoln,2
Essex,2
Uxbridge,2
Parry Sound,2
Belle River,2
Seaforth,2
Saint Marys,2
Stayner,2
Campbellford,2
Port Perry,2
Carleton Place,2
Bowmanville,2
Petrolia,2
Bolton,2
Casselman,2
Pelham,2
Blenheim,2
Goderich,2
Norwich,2
Beamsville,1
Curran,1
Brighton,1
Cobden,1
Chute-Ã -Blondeau,1
Bruce Mines,1
Brunner,1
Corbeil,1
Caledonia,1
Exeter,1
Chesterville,1
Arthur,1
Cargill,1
Courtice,1
Delhi,1
Durham,1
Erin,1
Embrun,1
Elora,1
Chesley,1
Georgina,1
Dorchester,1
Codrington,1
Barry's Bay,1
Amherstburg,1
Elmira,1
Elliot Lake,1
Beachburg,1
East Gwillimbury,1
Aylmer,1
Long Sault,1
Godfrey,1
Temiskaming Shores,1
Ripley,1
Russell,1
Saint Isidore,1
Seeley's Bay,1
Shelburne,1
Southampton,1
St-Albert,1
St. Jacobs,1
Stirling,1
Strathroy,1
Sunderland,1
Tamworth,1
Tavistock,1
Thedford,1
Renfrew,1
Thornbury,1
Thorold,1
Tilbury,1
Townsend,1
Vankleek Hill,1
Walkerton,1
Wardsville,1
Wasaga Beach,1
Waterford,1
Watford,1
Waubaushene,1
Wheatley,1
Wiarton,1
Ridgetown,1
Prescott,1
Green Valley,1
Lucan,1
Hagersville,1
Haliburton,1
Hensall,1
Ingersoll,1
Innisfil,1
Jarvis,1
Lakefield,1
Lancaster,1
Lefaivre,1
Limoges,1
Lombardy,1
Londesborough,1
Wingham,1
Maberly,1
Port Elgin,1
Madoc,1
Marmora,1
Maryhill,1
Mississippi Mills,1
Moonbeam,1
Morrisburg,1
Mount Forest,1
Napanee,1
New Hamburg,1
Norwood,1
Palmerston,1
Perth Road,1
Port Colborne,1
Acton,1
