name,Snippet,description,longitude,latitude,altitude
Peterborough Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Peterborough_Airport"">Peterborough Airport</a>",-78.3633333333333,44.2305555555556,0
London International Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.1511111111111,43.0330555555556,0
Ottawa Macdonald-Cartier International Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-75.6691666666667,45.3225,0
Thunder Bay International Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-89.3238888888889,48.3719444444444,0
Toronto Pearson International Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.6305555555555,43.6772222222222,0
Alliston Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.8333333333333,44.1833333333333,0
Armstrong Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-88.91,50.2938888888889,0
Arnprior/South Renfrew Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-76.3658333333333,45.4136111111111,0
Attawapiskat Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.4319444444445,52.9275,0
Atwood/Coghlin Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.0044444444444,43.6833333333333,0
Baldwin Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.3405555555556,44.2672222222222,0
Bancroft Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-77.8805555555555,45.0730555555556,0
Lake Simcoe Regional Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.5555555555556,44.4852777777778,0
Bar River Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-84.0922222222222,46.4202777777778,0
Bearskin Lake Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-91.0272222222222,53.9655555555556,0
Belleville Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-77.3094444444444,44.1922222222222,0
Bolton Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.6947222222222,43.8516666666667,0
Brampton Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.875,43.7602777777778,0
Brantford Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.3425,43.1313888888889,0
Brockville-Thousand Islands Regional Tackaberry Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-75.7502777777778,44.6394444444444,0
Brussels (Armstrong Field) Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.2333333333333,43.75,0
Buttonville Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.37,43.8622222222222,0
Cambridge/Reid's Field Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.2322222222222,43.4427777777778,0
Carey Lake Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-84.0333333333333,49.75,0
Carleton Place Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-76.1233333333333,45.1038888888889,0
Carp Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-76.0222222222222,45.3225,0
Cat Lake Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-91.8244444444444,51.7272222222222,0
Chapleau Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-83.3466666666667,47.82,0
Chatham-Kent Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.0819444444444,42.3063888888889,0
Cobden/Bruce McPhail Memorial Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-76.8333333333333,45.595,0
Cochrane Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.0136111111111,49.1055555555556,0
Collingwood Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.1583333333333,44.4491666666667,0
Cookstown Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.6388888888889,44.2388888888889,0
Cornwall Regional Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-74.5677777777778,45.0927777777778,0
Cottam Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.6527777777778,42.14,0
Deep River/Rolph Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-77.5333333333333,46.1166666666667,0
Deer Lake Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-94.0613888888889,52.6558333333333,0
De Lesseps Lake Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-90.6836111111111,50.7175,0
Dryden Regional Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-92.7436111111111,49.8313888888889,0
Fort Hope Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-87.9077777777778,51.5619444444444,0
Earlton - Timiskaming Regional Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.8488888888889,47.695,0
Edenvale Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.9627777777778,44.4411111111111,0
Elk Lake Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.3158333333333,47.7286111111111,0
Elliot Lake Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.5613888888889,46.3513888888889,0
Elmira Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.6030555555556,43.5847222222222,0
Elmira (East) Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.5122222222222,43.5919444444444,0
Emsdale Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.35,45.55,0
Essex Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.8794444444444,42.0958333333333,0
Ethel Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.1772222222222,43.7447222222222,0
Sexsmith/Exeter Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.5041666666667,43.3772222222222,0
Fergus (Juergensen Field) Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.4472222222222,43.735,0
Fordwich Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.9952777777778,43.8880555555556,0
Fort Albany Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.6969444444445,52.2013888888889,0
Fort Severn Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-87.6761111111111,56.0188888888889,0
Gananoque Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-76.2441666666667,44.4019444444444,0
Ganonoque Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-76.1744444444444,44.3469444444444,0
Geraldton (Greenstone Regional) Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-86.9394444444444,49.7783333333333,0
Goderich Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.7105555555556,43.7669444444444,0
Gore Bay-Manitoulin Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.5672222222222,45.8816666666667,0
Grand Bend Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.7141666666667,43.2869444444444,0
Sudbury Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.7988888888889,46.625,0
Sudbury/Coniston Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.8338888888889,46.4822222222222,0
Greenbank Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.0127777777778,44.1336111111111,0
Guelph Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.1958333333333,43.5636111111111,0
Haliburton/Stanhope Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-78.64,45.1108333333333,0
John C. Munro Hamilton International Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.935,43.1736111111111,0
Hanover/Saugeen Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.0627777777778,44.1583333333333,0
Harrow Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.8408333333333,42.0594444444444,0
Hawkesbury Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-74.65,45.6166666666667,0
Hawkesbury (East) Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-74.5488888888889,45.5827777777778,0
Hearst (René Fontaine) Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-83.6869444444444,49.7138888888889,0
Highgate Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.8030555555556,42.5544444444444,0
Hornepayne Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-84.7588888888889,49.1930555555556,0
Ignace Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-91.7177777777778,49.4297222222222,0
Iroquois Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-75.3122222222222,44.8419444444444,0
Iroquois Falls Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.7933333333333,48.7416666666667,0
Kakabeka Falls Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-89.6019444444444,48.4183333333333,0
Kapuskasing Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.4694444444444,49.4116666666667,0
Kasabonika Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-88.6430555555556,53.5247222222222,0
Kashechewan Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.6777777777778,52.2825,0
Keene/Elmhirst's Resort Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-78.1166666666667,44.25,0
Keewaywin Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-92.8363888888889,52.9911111111111,0
Kenora Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-94.3630555555555,49.7883333333333,0
Killarney Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.4947222222222,45.9775,0
Kincardine Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.6066666666667,44.2013888888889,0
Kincardine/Shepherd's Landing Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.6983333333333,44.1175,0
Kingfisher Lake Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-89.8552777777778,53.0125,0
Kingston Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-76.5844444444444,44.2263888888889,0
Kirkland Lake Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.9813888888889,48.2102777777778,0
Big Trout Lake Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-89.8969444444445,53.8177777777778,0
